iso,countryName,href
DOM,Dominican Republic,https://upload.wikimedia.org/wikipedia/commons/9/9f/Flag_of_the_Dominican_Republic.svg
TLS,East Timor,https://upload.wikimedia.org/wikipedia/commons/2/26/Flag_of_East_Timor.svg
ECU,Ecuador,https://upload.wikimedia.org/wikipedia/commons/e/e8/Flag_of_Ecuador.svg
EGY,Egypt,https://upload.wikimedia.org/wikipedia/commons/f/fd/Egypt_Flag.svg
SLV,El Salvador,https://upload.wikimedia.org/wikipedia/commons/8/8c/Flag_of_El_Salvador_%283-2%29.svg
GNQ,Equatorial Guinea,https://commons.wikimedia.org/wiki/Category:SVG_flags_of_Equatorial_Guinea#/media/File:Flag_of_Equatorial_Guinea.svg
ERI,Eritrea,https://upload.wikimedia.org/wikipedia/commons/2/29/Flag_of_Eritrea.svg
EST,Estonia,https://upload.wikimedia.org/wikipedia/commons/9/9a/Flag_of_Estonia_%283-2%29.svg
ETH,Ethiopia,https://upload.wikimedia.org/wikipedia/commons/6/69/Flag_of_Ethiopia_%283-2%29.svg
FSM,Federated States of Micronesia,https://upload.wikimedia.org/wikipedia/commons/e/e4/Flag_of_the_Federated_States_of_Micronesia.svg
FJI,Fiji,https://commons.wikimedia.org/wiki/Category:SVG_flags_of_Fiji#/media/File:Flag_of_Fiji_(3-2).svg
FIN,Finland,https://commons.wikimedia.org/wiki/Category:SVG_flags_of_Finland#/media/File:Flag_of_Finland_(3-2).svg
FRA,France,https://upload.wikimedia.org/wikipedia/commons/c/c3/Flag_of_France.svg
GUF,French Guiana,https://upload.wikimedia.org/wikipedia/commons/c/c3/Flag_of_France.svg
PYF,French Polynesia,https://upload.wikimedia.org/wikipedia/commons/d/db/Flag_of_French_Polynesia.svg
GAB,Gabon,https://upload.wikimedia.org/wikipedia/commons/9/9b/Flag_of_Gabon_%283-2%29.svg
GMB,Gambia,https://upload.wikimedia.org/wikipedia/commons/7/77/Flag_of_The_Gambia.svg
GEO,Georgia,https://upload.wikimedia.org/wikipedia/commons/0/0f/Flag_of_Georgia.svg
DEU,Germany,https://upload.wikimedia.org/wikipedia/commons/b/ba/Flag_of_Germany.svg
GHA,Ghana,https://upload.wikimedia.org/wikipedia/commons/1/19/Flag_of_Ghana.svg
GRC,Greece,https://upload.wikimedia.org/wikipedia/commons/5/5c/Flag_of_Greece.svg
GRD,Grenada,https://upload.wikimedia.org/wikipedia/commons/8/81/Flag_of_Grenada_%283-2%29.svg
GLP,Guadeloupe,https://upload.wikimedia.org/wikipedia/commons/c/c3/Flag_of_France.svg
GTM,Guatemala,https://upload.wikimedia.org/wikipedia/commons/c/ca/Flag_of_Guatemala_%283-2%29.svg
GIN,Guinea,https://upload.wikimedia.org/wikipedia/commons/e/ed/Flag_of_Guinea.svg
GNB,Guinea-Bissau,https://upload.wikimedia.org/wikipedia/commons/e/ea/Flag_of_Guinea-Bissau_%283-2%29.svg
GUY,Guyana,https://upload.wikimedia.org/wikipedia/commons/7/7a/Flag_of_Guyana_%283-2%29.svg
HTI,Haiti,https://upload.wikimedia.org/wikipedia/commons/1/18/Flag_of_Haiti_%283-2%29.svg
HND,Honduras,https://upload.wikimedia.org/wikipedia/commons/c/c7/Flag_of_Honduras_%283-2%29.svg
HKG,Hong Kong,https://upload.wikimedia.org/wikipedia/commons/5/5b/Flag_of_Hong_Kong.svg
HUN,Hungary,https://upload.wikimedia.org/wikipedia/commons/a/a1/Hungary_Flag.svg
ISL,Iceland,https://upload.wikimedia.org/wikipedia/commons/b/b1/Flag_of_Iceland_%283-2%29.svg
IND,India,https://upload.wikimedia.org/wikipedia/commons/4/41/Flag_of_India.svg
IDN,Indonesia,https://upload.wikimedia.org/wikipedia/commons/9/9f/Flag_of_Indonesia.svg
IRN,Iran,https://upload.wikimedia.org/wikipedia/commons/2/23/Flag_of_Iran_%283-2%29.svg
IRQ,Iraq,https://upload.wikimedia.org/wikipedia/commons/f/f6/Flag_of_Iraq.svg
IRL,Ireland,https://upload.wikimedia.org/wikipedia/commons/4/45/Flag_of_Ireland.svg
ISR,Israel,https://upload.wikimedia.org/wikipedia/commons/d/d4/Flag_of_Israel.svg
ITA,Italy,https://upload.wikimedia.org/wikipedia/commons/1/19/Italy_Flag.svg
JAM,Jamaica,https://upload.wikimedia.org/wikipedia/commons/d/d6/Flag_of_Jamaica_%283-2_aspect_ratio%29.svg
JPN,Japan,https://upload.wikimedia.org/wikipedia/commons/9/9d/Flag_of_Japan_%281870%2C_3-2%29.svg
JOR,Jordan,https://upload.wikimedia.org/wikipedia/commons/0/05/Flag_of_Jordan_%283-2%29.svg
KAZ,Kazakhstan,https://upload.wikimedia.org/wikipedia/commons/2/2e/Flag_of_Kazakhstan_%283-2%29.svg
KEN,Kenya,https://upload.wikimedia.org/wikipedia/commons/4/49/Flag_of_Kenya.svg
KIR,Kiribati,https://upload.wikimedia.org/wikipedia/commons/d/d3/Flag_of_Kiribati.svg
KOS,Kosovo,https://upload.wikimedia.org/wikipedia/commons/1/1f/Flag_of_Kosovo.svg
KWT,Kuwait,https://upload.wikimedia.org/wikipedia/commons/9/90/Flag_of_Kuwait_%283-2%29.svg
KGZ,Kyrgyzstan,https://upload.wikimedia.org/wikipedia/commons/4/41/Flag_of_Kyrgyzstan_%283-2%29.svg
LAO,Laos,https://upload.wikimedia.org/wikipedia/commons/5/56/Flag_of_Laos.svg
LVA,Latvia,https://upload.wikimedia.org/wikipedia/commons/3/34/Flag_of_Latvia_%283-2%29.svg
LBN,Lebanon,https://upload.wikimedia.org/wikipedia/commons/5/59/Flag_of_Lebanon.svg
LSO,Lesotho,https://upload.wikimedia.org/wikipedia/commons/4/4a/Flag_of_Lesotho.svg
LBR,Liberia,https://upload.wikimedia.org/wikipedia/commons/8/89/Flag_of_Liberia_%283-2%29.svg
LBY,Libya,https://upload.wikimedia.org/wikipedia/commons/3/3e/Flag_of_Libya_%283-2%29.svg
LIE,Liechtenstein,https://upload.wikimedia.org/wikipedia/commons/4/47/Flag_of_Liechtenstein.svg
LTU,Lithuania,https://upload.wikimedia.org/wikipedia/commons/1/11/Flag_of_Lithuania.svg
LUX,Luxembourg,https://upload.wikimedia.org/wikipedia/commons/e/e3/Flag_of_Luxembourg_%283-2%29.svg
MAC,Macau,https://upload.wikimedia.org/wikipedia/commons/6/63/Flag_of_Macau.svg
MKD,Macedonia,https://upload.wikimedia.org/wikipedia/commons/0/03/Flag_of_Macedonia_%283-2%29.svg
MDG,Madagascar,https://upload.wikimedia.org/wikipedia/commons/b/bc/Flag_of_Madagascar.svg
MWI,Malawi,https://upload.wikimedia.org/wikipedia/commons/d/d1/Flag_of_Malawi.svg
MYS,Malaysia,https://upload.wikimedia.org/wikipedia/commons/2/29/Flag_of_Malaysia_%283-2%29.svg
MDV,Maldives,https://upload.wikimedia.org/wikipedia/commons/0/0f/Flag_of_Maldives.svg
MLI,Mali,https://upload.wikimedia.org/wikipedia/commons/9/92/Flag_of_Mali.svg
MLT,Malta,https://upload.wikimedia.org/wikipedia/commons/7/73/Flag_of_Malta.svg
MHL,Marshall Islands,https://upload.wikimedia.org/wikipedia/commons/2/2e/Flag_of_the_Marshall_Islands.svg
MTQ,Martinique,https://upload.wikimedia.org/wikipedia/commons/c/c3/Flag_of_France.svg
MRT,Mauritania,https://upload.wikimedia.org/wikipedia/commons/4/43/Flag_of_Mauritania.svg
MUS,Mauritius,https://upload.wikimedia.org/wikipedia/commons/7/77/Flag_of_Mauritius.svg
MEX,Mexico,https://upload.wikimedia.org/wikipedia/commons/6/6f/Flag_of_Mexico_%283-2%29.svg
MDA,Moldova,https://upload.wikimedia.org/wikipedia/commons/b/bf/Flag_of_Moldova_%283-2%29.svg
MCO,Monaco,https://upload.wikimedia.org/wikipedia/commons/d/d0/Flag_of_Monaco_%283-2%29.svg
MNG,Mongolia,https://upload.wikimedia.org/wikipedia/commons/1/16/Flag_of_Mongolia_%283-2%29.svg
MNE,Montenegro,https://upload.wikimedia.org/wikipedia/commons/6/64/Flag_of_Montenegro.svg
MSR,Montserrat,https://upload.wikimedia.org/wikipedia/commons/d/d0/Flag_of_Montserrat.svg
MAR,Morocco,https://upload.wikimedia.org/wikipedia/commons/2/2c/Flag_of_Morocco.svg
MOZ,Mozambique,https://upload.wikimedia.org/wikipedia/commons/1/1a/Mozambique_Flag.svg
NAM,Namibia,https://upload.wikimedia.org/wikipedia/commons/0/00/Flag_of_Namibia.svg
NRU,Nauru,https://upload.wikimedia.org/wikipedia/commons/3/30/Flag_of_Nauru.svg
NPL,Nepal,https://upload.wikimedia.org/wikipedia/commons/b/b1/Flag_of_Nepal_%28with_spacing%2C_aspect_ratio_3-2%29.svg
