ISO,countryName,temporaryVisitor,studentExchange,temporaryWorker,diplomatRep,otherNI,total,countryNote
AFG,Afghanistan,1337,527,62,655,191,2772,
ALB,Albania,6214,886,256,452,134,7942,
DZA,Algeria,6698,499,234,829,142,8402,
AND,Andorra,1043,61,31,24,0,1176,
AGO,Angola,7706,1517,648,565,156,10592,
ATG,Antigua and Barbuda,15953,400,169,312,124,16958,
ARG,Argentina,611418,8022,16395,5844,5250,646929,
ARM,Armenia,4507,527,445,480,176,6135,
AUS,Australia,1261390,13416,41757,10805,4301,1331669,Includes data for Australian external territories.
AUT,Austria,219111,5047,5939,1753,426,232276,
AZE,Azerbaijan,4267,1026,344,760,67,6464,
BHS,Bahamas,241525,6449,750,701,2334,251759,
BHR,Bahrain,4679,1011,67,401,23,6181,
BGD,Bangladesh,16355,3568,828,1386,492,22629,
BRB,Barbados,56327,730,512,824,639,59032,
BLR,Belarus,10852,1067,855,273,668,13715,
BEL,Belgium,293564,4416,8729,2898,504,310111,
BLZ,Belize,21709,717,209,484,1065,24184,
BEN,Benin,2097,403,77,447,32,3056,
BTN,Bhutan,166,140,9,246,101,662,
BOL,Bolivia,39321,2020,1184,1157,976,44658,
BIH,Bosnia and Herzegovina,5203,643,223,323,451,6843,
BWA,Botswana,1866,270,86,266,92,2580,
BRA,Brazil,1687030,46692,31124,9867,17712,1792425,
BRN,Brunei,1072,116,52,488,19,1747,
BGR,Bulgaria,23297,9273,2412,997,3121,39100,
BFA,Burkina Faso,2281,631,104,531,135,3682,
MMR,Burma,2057,926,197,267,536,3983,
BDI,Burundi,871,143,57,325,28,1424,
KHM,Cambodia,2337,471,63,294,463,3628,
CMR,Cameroon,6919,1005,331,1056,184,9495,
CAN,Canada,137614,312129,993808,13061,9508,1466120,
CPV,Cabo Verde,1261,93,17,79,70,1520,
CAF,Central African Republic,98,19,5,65,15,202,
TCD,Chad,241,48,13,129,0,436,
CHL,Chile,188301,7683,6533,4003,2624,209144,
CHN,China,1343325,330433,49936,7520,25533,1756747,Includes data for Hong Kong and Macau.
COL,Colombia,614624,19840,17357,9250,8321,669392,
COM,Comoros,46,10,dw,60,0,123,
COG,Republic of the Congo,2981,419,71,666,61,4198,
COD,Democratic Republic of the Congo,1012,120,42,239,17,1430,
CRI,Costa Rica,187546,2893,3057,1303,2337,197136,
CIV,Cote d'Ivoire,1888,456,71,215,31,2661,
HRV,Croatia,18684,1726,1130,618,4294,26452,
CUB,Cuba,18896,77,433,438,1353,21197,
CYP,Cyprus,8243,930,321,227,68,9789,
CZE,Czechia,87293,4179,2238,1120,399,95229,
DNK,Denmark,309410,5836,8994,2807,807,327854,Includes data for the Faroe Islands and Greenland.
DJI,Djibouti,254,20,dw,130,7,416,
DMA,Dominica,4897,157,122,81,271,5528,
DOM,Dominican Republic,257951,4890,6839,2125,4757,276562,
