ISO,countryName,temporaryVisitor,studentExchange,temporaryWorker,diplomatRep,otherNI,total,countryNote
ECU,Ecuador,216353,6091,3000,2477,2723,230644,
EGY,Egypt,70586,5910,2982,3966,843,84287,
SLV,El Salvador,106791,2145,1908,1210,1947,114001,
GNQ,Equatorial Guinea,460,91,12,73,0,641,
ERI,Eritrea,630,116,11,42,55,854,
EST,Estonia,16574,1154,417,515,208,18868,
ETH,Ethiopia,12044,1257,550,891,594,15336,
FJI,Fiji,11190,92,286,304,1212,13084,
FIN,Finland,145094,3048,4537,2057,258,154994,
FRA,France,1790259,39824,68720,11317,3431,1913551,Includes data for Overseas France.
GAB,Gabon,1576,433,48,460,29,2546,
GMB,Gambia,1820,196,20,390,42,2468,
GEO,Georgia,3433,995,308,868,524,6128,
DEU,Germany,2170656,47425,71321,14760,4045,2308207,
GHA,Ghana,21595,2836,1002,1322,650,27405,
GRC,Greece,67386,5105,2882,1064,2573,79010,
GRD,Grenada,9518,314,245,216,870,11163,
GTM,Guatemala,203723,3170,5634,1482,2661,216670,
GIN,Guinea,2110,168,111,331,60,2780,
GNB,Guinea-Bissau,20,16,4,16,8,64,
GUY,Guyana,31925,307,227,426,2085,34970,
HTI,Haiti,92985,1183,961,696,3040,98865,
VAT,Vatican City,22,dw,dw,92,0,118,
HND,Honduras,138966,3221,2400,1165,6416,152168,
HUN,Hungary,67262,3785,2863,931,1106,75947,
ISL,Iceland,53435,1290,1004,257,128,56114,
IND,India,830586,93293,327898,8471,36028,1296276,
IDN,Indonesia,73564,10154,2739,4142,20897,111496,
IRN,Iran,17449,5326,478,415,622,24290,
IRQ,Iraq,8328,2325,170,1180,212,12215,
IRL,Ireland,417299,13803,18612,1686,912,452312,
ISR,Israel,329504,10935,17183,7183,1974,366779,
ITA,Italy,1125140,21390,32842,7725,5154,1192251,
JAM,Jamaica,192816,7267,12998,1129,9575,223785,
JPN,Japan,3893370,59967,166891,14305,6766,4141299,
JOR,Jordan,25419,4538,905,4234,524,35620,
KAZ,Kazakhstan,12639,7091,610,758,151,21249,
KEN,Kenya,13994,2410,1350,2306,271,20331,
KIR,Kiribati,159,32,32,141,330,694,
PRK,North Korea,0,4,0,dw,8,24,
KOR,South Korea,1307416,142206,67172,6541,3750,1527085,
KWT,Kuwait,30077,9562,302,799,172,40912,
KGZ,Kyrgyzstan,1847,1283,119,426,65,3740,
LAO,Laos,751,72,13,136,343,1315,
LVA,Latvia,17346,864,557,374,1607,20748,
LBN,Lebanon,29520,3081,2345,1283,298,36527,
LSO,Lesotho,314,64,dw,133,10,532,
LBR,Liberia,2460,205,36,458,131,3290,
LBY,Libya,1101,1472,66,268,26,2933,
LIE,Liechtenstein,2133,53,10,53,0,2255,
LTU,Lithuania,4456,1803,614,447,500,7820,
LUX,Luxembourg,14494,264,329,413,19,15519,
MKD,Macedonia,5411,2627,323,340,819,9520,
MDG,Madagascar,714,115,44,210,62,1145,
MWI,Malawi,1523,235,69,378,75,2280,
MYS,Malaysia,80989,7574,6460,1763,624,97410,
MDV,Maldives,125,79,4,118,42,368,
MLI,Mali,2531,302,105,385,47,3370,
MLT,Malta,5905,87,167,102,40,6301,
MHL,Marshall Islands,42,dw,dw,42,54,148,
MRT,Mauritania,641,125,19,233,68,1086,
MUS,Mauritius,4293,244,198,301,596,5632,
MEX,Mexico,15365936,290354,622962,30504,152362,16462118,
FSM,Federated States of Micronesia,113,5,dw,62,74,258,
MDA,Moldova,6892,3464,405,364,168,11293,
MCO,Monaco,1117,64,dw,64,0,1270,
MNG,Mongolia,7286,2296,254,462,101,10399,
MAR,Morocco,22448,2403,742,1821,351,27765,Includes data for Western Sahara.
MOZ,Mozambique,1081,158,42,404,79,1764,
NAM,Namibia,1543,131,76,398,101,2249,
NRU,Nauru,52,0,dw,48,13,120,
NPL,Nepal,11304,4019,1634,720,798,18475,
NLD,Netherlands,749786,8981,19177,5046,2039,785029,Includes data for Aruba and the former Netherlands Antilles.
NZL,New Zealand,253126,3918,5862,2384,1204,266494,Includes data for New Zealand territories.
NIC,Nicaragua,49045,933,1077,743,4582,56380,
NER,Niger,812,156,41,287,16,1312,
NGA,Nigeria,106362,7205,3578,2679,1353,121177,
NOR,Norway,280294,9010,7177,2637,1140,300258,
OMN,Oman,2433,2119,174,988,15,5729,
PAK,Pakistan,54985,6535,4592,2304,806,69222,
PLW,Palau,91,5,5,94,87,282,
PAN,Panama,123498,3867,1569,1545,2136,132615,
PNG,Papua New Guinea,681,94,dw,166,64,1020,
PRY,Paraguay,18222,1016,351,892,344,20825,
PER,Peru,202695,8117,6187,3733,10371,231103,
PHL,Philippines,224012,5978,13870,4649,79248,327757,
POL,Poland,126230,7304,5793,2436,7283,149046,
PRT,Portugal,153538,3217,4245,1196,2004,164200,
QAT,Qatar,8403,2646,62,1059,40,12210,
ROU,Romania,58298,5796,3611,1331,7219,76255,
RUS,Russia,254199,18744,11733,6171,9064,299911,
RWA,Rwanda,2413,879,102,603,171,4168,
KNA,Saint Kitts and Nevis,10790,376,147,273,148,11734,
LCA,Saint Lucia,14891,517,146,286,927,16767,
VCT,Saint Vincent and the Grenadines,10444,164,84,151,1902,12745,
WSM,Samoa,1534,40,54,75,109,1812,
SMR,San Marino,726,8,dw,27,0,765,
STP,Sao Tome and Principe,0,dw,0,31,0,45,
SAU,Saudi Arabia,88180,96069,1588,6995,630,193462,
SEN,Senegal,7617,772,232,1061,142,9824,
SRB,Serbia,164,0,0,dw,0,173,"Government datasets track Serbian and Montenegrin citizenship under the former State Union of Serbia and Montenegro, despite dissolution in 2006. To show this discrepancy, the data displayed individually for both Serbia and Montenegro is the combined Serbia and Montenegro data."
MNE,Montenegro,164,0,0,dw,0,173,"Government datasets track Serbian and Montenegrin citizenship under the former State Union of Serbia and Montenegro, despite dissolution in 2006. To show this discrepancy, the data displayed individually for both Serbia and Montenegro is the combined Serbia and Montenegro data."
SYC,Seychelles,223,12,dw,103,22,365,
SLE,Sierra Leone,2419,128,45,314,153,3059,
SGP,Singapore,143224,8911,5124,3920,397,161576,
SVK,Slovakia,40736,3621,1396,542,302,46597,
SVN,Slovenia,23047,721,549,325,161,24803,
SLB,Solomon Islands,133,dw,0,100,100,344,
SOM,Somalia,75,50,4,25,98,252,
ZAF,South Africa,109410,4470,7729,2458,3906,127973,
ESP,Spain,814930,25096,33277,6628,2382,882313,
LKA,Sri Lanka,15196,2559,1522,754,1041,21072,
SDN,Sudan,2677,308,60,563,55,3663,
SUR,Suriname,9748,184,74,429,207,10642,
SWZ,Swaziland,438,103,17,85,21,664,
SWE,Sweden,488474,12334,14222,4557,1175,520762,
CHE,Switzerland,462853,9316,9079,2674,437,484359,
SYR,Syria,9624,801,184,119,206,10934,
TWN,Taiwan,257526,37965,16907,102,1337,313837,
TJK,Tajikistan,1052,613,55,232,23,1975,
TZA,Tanzania,5297,959,294,1023,158,7731,
THA,Thailand,71826,18052,2506,2293,3495,98172,
TGO,Togo,1369,190,64,324,56,2003,
TON,Tonga,1651,64,43,159,99,2016,
TTO,Trinidad and Tobago,158064,3512,3568,1230,2877,169251,
TUN,Tunisia,7069,1203,300,713,271,9556,
TUR,Turkey,129277,30124,8591,5174,2767,175933,
TKM,Turkmenistan,593,326,47,178,27,1171,
TUV,Tuvalu,42,dw,dw,65,78,198,
UGA,Uganda,6361,892,523,1044,106,8926,
UKR,Ukraine,56181,10394,3864,1273,10853,82565,
ARE,United Arab Emirates,15363,5226,53,2390,78,23110,
GBR,United Kingdom,4273472,43468,136684,20636,12406,4486666,"Includes data for British Overseas Territories, the Channel Islands, and the Isle of Man."
URY,Uruguay,54308,940,1589,1809,944,59590,
UZB,Uzbekistan,5934,902,263,463,132,7694,
VUT,Vanuatu,98,dw,14,60,20,198,
VEN,Venezuela,649791,18218,25838,1451,5542,700840,
VNM,Vietnam,43263,15192,1734,1669,1525,63383,
YEM,Yemen,1872,823,46,398,40,3179,
ZMB,Zambia,3145,504,123,715,98,4585,
ZWE,Zimbabwe,6267,1023,539,669,408,8906,
