citizCountry,temporaryVisitor,studentExchange,temporaryWorker,diplomatRep,other,total,countryNote,
Poland,133591,8124,5295,2116,7990,157116,,
Portugal,117657,3677,3052,1269,2808,128463,,
Qatar,2978,1636,37,771,0,5451,,
Romania,48072,5073,3687,1289,5997,64118,,
Russia,146985,27040,8714,5285,9149,197173,,
Rwanda,1529,612,65,492,74,2772,,
Saint Kitts and Nevis,12181,535,110,227,190,13243,,
Saint Lucia,15648,669,215,362,679,17573,,
Saint Vincent and the Grenadines,10904,250,116,199,2607,14076,,
Samoa,1950,38,27,70,166,2251,,
San Marino,630,9,4,34,0,677,,
Sao Tome and Principe,11,dw,3,52,9,78,,
Saudi Arabia,29217,25196,1414,5426,277,61530,,
Senegal,7211,686,283,1260,142,9582,,
Serbia,1555,66,64,28,74,1787,"Government datasets track Serbian and Montenegrin citizenship under the former State Union of Serbia and Montenegro, despite dissolution in 2006. To show this discrepancy, the data displayed individually for both Serbia and Montenegro is the combined Serbia and Montenegro data.",
Montenegro,1555,66,64,28,74,1787,"Government datasets track Serbian and Montenegrin citizenship under the former State Union of Serbia and Montenegro, despite dissolution in 2006. To show this discrepancy, the data displayed individually for both Serbia and Montenegro is the combined Serbia and Montenegro data.",
Seychelles,205,dw,dw,53,16,277,,
Sierra Leone,2082,115,56,304,154,2711,,
Singapore,87408,7668,4861,3360,465,103762,,
Slovakia,31010,3119,1169,667,376,36341,,
Slovenia,22840,590,455,391,161,24437,,
Solomon Islands,148,8,8,74,54,292,,
Somalia,108,7,6,23,99,243,,
South Africa,86377,4882,9130,2116,4733,107238,,
Spain,712121,21435,21976,6242,1561,763335,,
Sri Lanka,11344,2418,1260,719,1124,16865,,
Sudan,1703,210,58,524,89,2584,,
Suriname,6814,170,92,359,416,7851,,
Swaziland,377,80,21,146,25,649,,
Sweden,384596,10893,12780,4462,1395,414126,,
Switzerland,320023,8612,9045,2727,536,340943,,
Syria,6123,675,393,126,258,7575,,
Taiwan,213476,42899,13038,110,2582,272105,,
Tajikistan,556,1033,73,273,13,1948,,
Tanzania,4331,1156,254,1035,79,6855,,
Thailand,57232,21247,2691,1915,4579,87664,,
Togo,1232,180,50,250,53,1765,,
Tonga,2023,76,91,216,166,2572,,
Trinidad and Tobago,159633,4888,3899,1396,3844,173660,,
Tunisia,4542,727,262,586,217,6334,,
Turkey,88516,31621,8710,3435,2557,134839,,
Turkmenistan,360,366,50,108,9,893,,
Tuvalu,48,dw,dw,28,129,208,,
Uganda,5347,880,506,930,102,7765,,
Ukraine,41342,11098,2461,1203,9965,66069,,
United Arab Emirates,8169,3370,45,1514,160,13258,,
United Kingdom,4494661,43909,127065,22787,24862,4713284,"Includes data for British Overseas Territories, the Channel Islands, and the Isle of Man.",
Uruguay,37389,984,1362,2008,1772,43515,,
Uzbekistan,4123,926,213,325,136,5723,,
Vanuatu,104,4,7,56,30,201,,
Venezuela,480623,10536,23250,1929,7908,524246,,
Vietnam,31451,12245,879,1295,1598,47468,,
Yemen,959,378,34,312,170,1853,,
Zambia,1758,422,115,579,70,2944,,
Zimbabwe,5064,934,492,507,241,7238,,
