ISO,countryName,temporaryVisitor,studentExchange,temporaryWorker,diplomatRep,otherNI,total,countryNote
DNK,Denmark,341585,7357,11018,4174,635,364769,Includes data for the Faroe Islands and Greenland.
DJI,Djibouti,328,21,dw,190,3,546,
DMA,Dominica,6239,282,77,164,325,7087,
DOM,Dominican Republic,318332,6080,7602,1863,4132,338009,
TLS,Timor-Leste,67,32,6,127,0,232,
ECU,Ecuador,368874,8395,2945,2024,2135,384373,
EGY,Egypt,87946,7555,4054,3934,560,104049,
SLV,El Salvador,163945,2688,2345,1842,2325,173145,
GNQ,Equatorial Guinea,1027,326,27,303,0,1687,
ERI,Eritrea,2790,181,dw,53,63,3094,
EST,Estonia,21437,965,736,732,233,24103,
ETH,Ethiopia,15364,1524,607,1148,324,18967,
FJI,Fiji,11812,164,70,399,997,13442,
FIN,Finland,158781,3709,6538,2358,269,171655,
FRA,France,1914725,49538,92198,13637,5570,2075668,Includes data for Overseas France.
GAB,Gabon,2005,500,33,529,0,3079,
GMB,Gambia,1695,153,30,380,52,2310,
GEO,Georgia,8003,1298,357,891,561,11110,
DEU,Germany,2208145,58366,88717,19971,6566,2381765,
GHA,Ghana,22662,2514,879,1558,352,27965,
GRC,Greece,73767,5791,4381,1469,2604,88012,
GRD,Grenada,10967,252,173,335,757,12484,
GTM,Guatemala,242961,3241,6968,1990,1715,256875,
GIN,Guinea,2603,139,87,318,76,3223,
GNB,Guinea-Bissau,141,17,6,128,3,295,
GUY,Guyana,54182,355,103,493,1586,56719,
HTI,Haiti,131315,1306,655,1091,2437,136804,
VAT,Vatican City,0,dw,0,119,0,144,
HND,Honduras,170163,4066,3059,1325,5238,183851,
HUN,Hungary,82050,4386,4058,1136,957,92587,
ISL,Iceland,52815,1309,1275,411,0,56149,
IND,India,1175153,179581,493426,8594,41573,1898327,
IDN,Indonesia,97218,13224,2417,3510,21571,137940,
IRN,Iran,25950,7937,499,351,529,35266,
IRQ,Iraq,18257,1930,122,919,153,21381,
IRL,Ireland,482342,17132,22157,1984,885,524500,
ISR,Israel,415198,13704,20487,7889,947,458225,
ITA,Italy,1229115,27694,47221,9229,6170,1319429,
JAM,Jamaica,267670,10242,16387,1427,8885,304611,
JPN,Japan,3750667,66385,184581,14762,5462,4021857,
JOR,Jordan,41030,5494,1084,5462,489,53559,
KAZ,Kazakhstan,20551,6881,1087,910,90,29519,
KEN,Kenya,20652,2840,1265,3571,680,29008,
KIR,Kiribati,244,40,15,160,494,953,
PRK,North Korea,45,17,7,25,0,99,
KOR,South Korea,1742422,140437,51021,7859,5148,1946887,
KOS,Kosovo,4335,770,87,358,113,5663,
KWT,Kuwait,50695,21805,129,1255,59,73943,
KGZ,Kyrgyzstan,2390,692,125,325,77,3609,
LAO,Laos,1386,194,37,308,369,2294,
LVA,Latvia,20487,854,811,608,1203,23963,
LBN,Lebanon,44881,3417,1933,1363,300,51894,
LSO,Lesotho,305,77,16,177,18,593,
LBR,Liberia,4532,263,24,405,136,5360,
LBY,Libya,1280,1286,85,217,11,2879,
LIE,Liechtenstein,2195,60,42,53,0,2350,
LTU,Lithuania,28703,2144,902,679,504,32932,
LUX,Luxembourg,14736,327,295,365,0,15748,
MKD,Macedonia,6887,1791,307,430,906,10321,
MDG,Madagascar,1034,187,30,401,98,1750,
MWI,Malawi,2099,333,93,623,0,3219,
MYS,Malaysia,87176,10197,5407,1968,822,105570,
MDV,Maldives,251,119,12,142,40,564,
MLI,Mali,3109,435,122,517,36,4219,
MLT,Malta,5963,79,176,171,0,6434,
MHL,Marshall Islands,51,dw,dw,90,52,200,
MRT,Mauritania,1409,178,40,444,12,2083,
MUS,Mauritius,4927,353,204,297,1044,6825,
MEX,Mexico,19175345,273537,771598,36156,121365,20378001,
FSM,Federated States of Micronesia,44,dw,0,83,27,159,
MDA,Moldova,9116,2414,574,334,162,12600,
MCO,Monaco,1128,62,dw,73,0,1311,
MNG,Mongolia,10713,3028,364,594,109,14808,
MAR,Morocco,30680,2988,849,1990,551,37058,Includes data for Western Sahara.
MOZ,Mozambique,1975,209,81,475,0,2807,
NAM,Namibia,1848,165,69,438,45,2565,
NRU,Nauru,41,dw,dw,64,5,115,
NPL,Nepal,19650,6756,1913,853,847,30019,
NLD,Netherlands,749826,11542,26027,10668,3547,801610,Includes data for Aruba and the former Netherlands Antilles.
NZL,New Zealand,318257,5706,7498,3180,2004,336645,Includes data for New Zealand territories.
NIC,Nicaragua,62328,1035,1291,739,4542,69935,
NER,Niger,963,200,45,543,0,1759,
NGA,Nigeria,194955,11766,3813,3031,954,214519,
NOR,Norway,312872,10067,7502,5259,855,336555,
OMN,Oman,5186,4988,145,1084,0,11419,
PAK,Pakistan,100083,10000,5663,2945,953,119644,
PLW,Palau,78,0,dw,77,0,160,
PAN,Panama,150901,5535,1440,1574,2577,162027,
PNG,Papua New Guinea,1508,155,dw,187,77,1939,
PRY,Paraguay,29588,1707,447,1003,197,32942,
PER,Peru,291953,11174,5567,4295,7018,320007,
PHL,Philippines,300893,10596,17419,5266,86743,420917,
POL,Poland,188589,9992,8144,2925,7803,217453,
PRT,Portugal,176878,3895,6164,1457,1662,190056,
QAT,Qatar,14916,3755,24,1487,12,20194,
ROU,Romania,73242,8034,4589,1527,8957,96349,
RUS,Russia,278959,15866,15262,4867,8481,323435,
RWA,Rwanda,2788,1306,90,748,133,5065,
KNA,Saint Kitts and Nevis,12004,475,137,253,81,12950,
LCA,Saint Lucia,15265,386,112,461,1635,17859,
VCT,Saint Vincent and the Grenadines,10275,149,73,187,1878,12562,
WSM,Samoa,2024,57,dw,127,156,2413,
SMR,San Marino,834,14,4,57,0,912,
STP,Sao Tome and Principe,41,6,dw,55,0,106,
SAU,Saudi Arabia,150123,143519,1720,10696,124,306182,
SEN,Senegal,8407,753,232,1328,76,10796,
SRB,Serbia,27905,6369,1571,901,3782,40528,"Government datasets track Serbian and Montenegrin citizenship under the former State Union of Serbia and Montenegro, despite dissolution in 2006. To show this discrepancy, the data displayed individually for both Serbia and Montenegro is the combined Serbia and Montenegro data."
MNE,Montenegro,27905,6369,1571,901,3782,40528,"Government datasets track Serbian and Montenegrin citizenship under the former State Union of Serbia and Montenegro, despite dissolution in 2006. To show this discrepancy, the data displayed individually for both Serbia and Montenegro is the combined Serbia and Montenegro data."
SYC,Seychelles,340,26,dw,121,16,508,
SLE,Sierra Leone,2568,142,35,459,84,3288,
SGP,Singapore,138913,11282,7280,5410,783,163668,
SVK,Slovakia,47347,5018,1773,737,238,55113,
SVN,Slovenia,25464,937,1067,355,154,27977,
SLB,Solomon Islands,175,dw,dw,67,46,307,
SOM,Somalia,231,42,dw,41,38,359,
ZAF,South Africa,130373,5316,10789,2697,4115,153290,
SSD,South Sudan,272,105,dw,137,20,541,
ESP,Spain,953969,36255,50419,8520,3088,1052251,
LKA,Sri Lanka,20894,3176,1513,785,1586,27954,
SDN,Sudan,3787,502,42,431,30,4792,
SUR,Suriname,14029,229,66,368,279,14971,
SWZ,Swaziland,677,183,37,182,66,1145,
SWE,Sweden,585687,14526,18128,4591,1003,623935,
CHE,Switzerland,458917,10755,10812,3258,733,484475,
SYR,Syria,14477,987,207,104,235,16010,
TWN,Taiwan,424452,44120,17459,44,1495,487570,
TJK,Tajikistan,1207,463,32,282,15,1999,
TZA,Tanzania,6632,1132,268,1472,173,9677,
THA,Thailand,88760,19954,2937,2271,3070,116992,
TGO,Togo,2026,232,51,309,53,2671,
TON,Tonga,3006,120,90,151,50,3417,
TTO,Trinidad and Tobago,179337,3278,3638,1328,2060,189641,
TUN,Tunisia,10218,1599,348,989,369,13523,
TUR,Turkey,177911,31645,9145,5365,2599,226665,
TKM,Turkmenistan,1004,434,81,167,0,1691,
TUV,Tuvalu,51,4,0,61,51,167,
UGA,Uganda,7682,1033,687,1720,100,11222,
UKR,Ukraine,87623,10363,6052,1107,13207,118352,
ARE,United Arab Emirates,30990,6912,142,2429,34,40507,
GBR,United Kingdom,4691874,55411,164597,36954,19213,4968049,"Includes data for British Overseas Territories, the Channel Islands, and the Isle of Man."
URY,Uruguay,76604,1246,1468,1838,447,81603,
UZB,Uzbekistan,9578,1382,330,587,111,11988,
VUT,Vanuatu,131,dw,14,59,18,236,
VEN,Venezuela,595414,21091,23713,1901,1665,643784,
VNM,Vietnam,83621,24657,2181,1884,2229,114572,
YEM,Yemen,3687,1451,50,323,38,5549,
ZMB,Zambia,3917,528,163,920,99,5627,
ZWE,Zimbabwe,7591,1284,624,665,590,10754,
