ISO,countryName,temporaryVisitor,studentExchange,temporaryWorker,diplomatRep,otherNI,total,countryNote
AFG,Afghanistan,2494,681,38,911,210,4334,
ALB,Albania,7530,1108,588,494,272,9992,
DZA,Algeria,11607,623,465,816,112,13623,
AND,Andorra,1168,49,93,34,0,1344,
AGO,Angola,10064,2179,693,794,57,13787,
ATG,Antigua and Barbuda,14122,386,91,308,115,15022,
ARG,Argentina,765576,9821,22218,5890,3193,806698,
ARM,Armenia,6612,554,597,689,202,8654,
AUS,Australia,1399615,17851,67995,10478,3415,1499354,Includes data for Australian external territories.
AUT,Austria,219040,6221,7774,2008,558,235601,
AZE,Azerbaijan,6374,978,361,643,63,8419,
BHS,Bahamas,237566,7060,740,1487,2423,249276,
BHR,Bahrain,7653,1191,86,375,8,9313,
BGD,Bangladesh,33513,6384,1360,2039,642,43938,
BRB,Barbados,59811,735,491,744,433,62214,
BLR,Belarus,14186,1158,1265,313,564,17486,
BEL,Belgium,305890,6038,11975,3159,592,327654,
BLZ,Belize,25689,591,345,625,910,28160,
BEN,Benin,2318,480,58,595,22,3473,
BTN,Bhutan,687,255,18,232,23,1215,
BOL,Bolivia,59771,2321,1234,1238,525,65089,
BIH,Bosnia and Herzegovina,7240,972,240,447,800,9699,
BWA,Botswana,2131,330,58,338,0,2914,
BRA,Brazil,2383822,59078,44013,9497,9115,2505525,
BRN,Brunei,1246,180,22,413,19,1880,
BGR,Bulgaria,28344,7929,2516,1074,3384,43247,
BFA,Burkina Faso,4842,861,95,565,69,6432,
MMR,Burma,4747,1456,159,381,840,7583,
BDI,Burundi,1126,186,38,400,22,1772,
KHM,Cambodia,2369,647,77,443,220,3756,
CMR,Cameroon,9833,1228,568,1223,218,13070,
CAN,Canada,11671122,253052,1122523,16695,344900,13408292,
CPV,Cabo Verde,3978,132,30,134,177,4451,
CAF,Central African Republic,172,34,4,115,17,342,
TCD,Chad,698,68,dw,396,9,1176,
CHL,Chile,329043,9980,8635,3988,2720,354366,
CHN,China,2309654,521330,76173,9255,18763,2935175,Includes data for Hong Kong and Macau.
COL,Colombia,928424,27127,19385,9982,5765,990683,
COM,Comoros,96,dw,dw,90,0,197,
COG,Republic of the Congo,1410,230,32,283,14,1969,
COD,Democratic Republic of the Congo,5538,786,88,834,75,7321,
CRI,Costa Rica,231629,3317,3750,1605,1438,241739,
CIV,Cote d'Ivoire,6092,1120,150,806,108,8276,
HRV,Croatia,23391,2065,1493,643,4597,32189,
CUB,Cuba,50205,114,492,764,640,52215,
CYP,Cyprus,8736,906,378,204,58,10282,
CZE,Czechia,104574,6193,3661,1369,380,116177,
