ISO,countryName,temporaryVisitor,studentExchange,temporaryWorker,diplomatRep,otherNI,total,countryNote
AFG,Afghanistan,1093,526,21,628,321,2589,
ALB,Albania,6918,1046,303,521,132,8920,
DZA,Algeria,4926,404,169,576,244,6319,
AND,Andorra,1056,26,18,38,0,1152,
AGO,Angola,5281,1203,459,410,204,7557,
ATG,Antigua and Barbuda,17534,460,101,304,164,18563,
ARG,Argentina,443146,8774,17886,6265,6566,482637,
ARM,Armenia,3772,577,335,402,196,5282,
AUS,Australia,972536,13278,37116,11006,3747,1037683,Includes data for Australian external territories.
AUT,Austria,195262,5398,6452,1919,604,209635,
AZE,Azerbaijan,2943,1679,265,634,75,5596,
BHS,Bahamas,263511,7468,897,845,4178,276899,
BHR,Bahrain,3914,1016,54,536,29,5549,
BGD,Bangladesh,12571,2753,855,1279,576,18034,
BRB,Barbados,59766,846,582,871,906,62971,
BLR,Belarus,7293,3339,723,198,734,12287,
BEL,Belgium,276833,4875,8290,3020,744,293762,
BLZ,Belize,22275,676,317,435,1378,25081,
BEN,Benin,1973,340,74,392,25,2804,
BTN,Bhutan,169,134,18,202,137,660,
BOL,Bolivia,38220,2096,1334,1332,1779,44761,
BIH,Bosnia and Herzegovina,4335,583,178,320,422,5838,
BWA,Botswana,1642,331,62,301,50,2386,
BRA,Brazil,1123617,38961,30676,10574,29629,1233457,
BRN,Brunei,888,71,32,194,32,1217,
BGR,Bulgaria,21545,7709,2512,914,2776,35456,
BFA,Burkina Faso,1792,552,150,427,83,3004,
MMR,Burma,1928,684,155,150,466,3383,
BDI,Burundi,720,112,44,264,42,1182,
KHM,Cambodia,2191,417,64,304,684,3660,
CMR,Cameroon,6875,1234,380,1152,190,9831,
CAN,Canada,121315,335327,894237,17790,60271,1428940,
CPV,Cabo Verde,2342,94,20,162,109,2727,
CAF,Central African Republic,136,32,12,84,18,282,
TCD,Chad,229,54,30,121,7,441,
CHL,Chile,152528,7274,6799,3954,4090,174645,
CHN,China,749689,221820,40508,6455,19807,1038279,Includes data for Hong Kong and Macau.
COL,Colombia,536290,18479,19658,8218,9717,592362,
COM,Comoros,22,dw,0,61,3,90,
COG,Republic of the Congo (Brazzaville),1944,288,50,465,59,2806,
COD,Democratic Republic of the Congo (Kinshasa),1099,127,33,219,28,1506,
CRI,Costa Rica,179083,3211,2940,1427,3338,189999,
CIV,Cote d'Ivoire,2591,516,112,372,81,3672,
HRV,Croatia,18335,1878,936,730,4177,26056,
CUB,Cuba,21558,62,417,478,1207,23722,
CYP,Cyprus,8569,1105,343,175,102,10294,
CZE,Czechia,69304,4153,1929,1209,356,76951,
DNK,Denmark,291819,5270,8428,2962,893,309372,Includes data for the Faroe Islands and Greenland.
DJI,Djibouti,323,19,18,75,8,443,
DMA,Dominica,5903,256,153,117,289,6718,
DOM,Dominican Republic,253163,4858,7224,2195,5457,272897,
TLS,Timor-Leste,5,0,0,0,0,5,
ECU,Ecuador,190692,6145,3080,2063,3194,205174,
EGY,Egypt,45595,4774,2552,3751,770,57442,
SLV,El Salvador,123865,2263,2235,1409,2564,132336,
GNQ,Equatorial Guinea,281,83,dw,149,5,523,
ERI,Eritrea,604,104,18,88,87,901,
EST,Estonia,12015,1124,327,464,265,14195,
ETH,Ethiopia,9484,1011,378,831,617,12321,
FJI,Fiji,8731,113,177,300,1627,10948,
FIN,Finland,128118,3396,4670,1751,375,138310,
FRA,France,1571328,41876,64438,12262,6866,1696770,Includes data for Overseas France.
GAB,Gabon,1306,422,139,560,25,2452,
GMB,Gambia,2089,409,41,365,62,2966,
GEO,Georgia,3147,1058,365,706,452,5728,
DEU,Germany,1927745,53003,76163,15219,4086,2076216,
GHA,Ghana,19627,2682,1012,1059,546,24926,
GRC,Greece,67155,5053,2744,1690,3077,79719,
GRD,Grenada,10233,345,178,264,467,11487,
GTM,Guatemala,199537,3032,5915,1548,3024,213056,
GIN,Guinea,2217,162,64,353,74,2870,
GNB,Guinea-Bissau,35,9,dw,24,91,165,
GUY,Guyana,25213,332,257,522,1824,28148,
HTI,Haiti,99409,1337,1075,662,3571,106054,
VAT,Vatican City,19,5,0,96,0,125,
HND,Honduras,119837,2573,2063,898,6411,131782,
HUN,Hungary,58377,3726,2362,993,1058,66516,
ISL,Iceland,39294,1284,995,302,115,41990,
IND,India,691569,99786,305530,7813,36239,1140937,
IDN,Indonesia,54613,9443,2895,3285,19026,89262,
IRN,Iran,14187,2529,485,445,730,18376,
IRQ,Iraq,3191,1193,172,1130,476,6162,
IRL,Ireland,457465,12332,13974,1664,919,486354,
ISR,Israel,323719,12328,17970,7394,2497,363908,
ITA,Italy,1048452,21822,28147,8100,5452,1111973,
JAM,Jamaica,206978,9037,13924,1410,8957,240306,
JPN,Japan,3563333,67862,178817,15577,5585,3831174,
JOR,Jordan,20264,4207,819,4172,738,30200,
KAZ,Kazakhstan,8427,6953,541,757,148,16826,
KEN,Kenya,14560,2703,1487,2114,319,21183,
KIR,Kiribati,195,16,18,105,661,995,
PRK,North Korea,59,5,50,0,16,130,
KOR,South Korea,1074125,172532,74700,6587,4443,1332387,
KWT,Kuwait,22144,5992,175,1022,167,29500,
KGZ,Kyrgyzstan,1615,1202,142,375,49,3383,
LAO,Laos,818,96,21,209,370,1514,
LVA,Latvia,12956,781,390,300,1750,16177,
LBN,Lebanon,24122,2777,2094,1320,422,30735,
LSO,Lesotho,275,47,dw,144,35,509,
LBR,Liberia,1394,171,33,368,109,2075,
LBY,Libya,2207,2323,20,346,60,4956,
LIE,Liechtenstein,1792,46,17,55,0,1913,
LTU,Lithuania,13332,1851,555,405,480,16623,
LUX,Luxembourg,13587,272,170,298,22,14349,
MKD,Macedonia,4698,2162,215,421,945,8441,
MDG,Madagascar,686,98,22,283,100,1189,
MWI,Malawi,1203,197,66,430,105,2001,
MYS,Malaysia,64475,7489,6017,1683,886,80550,
MDV,Maldives,112,87,dw,123,31,368,
MLI,Mali,3254,556,166,396,33,4405,
MLT,Malta,5522,68,116,98,31,5835,
MHL,Marshall Islands,64,dw,dw,22,89,178,
MRT,Mauritania,709,86,34,224,77,1130,
MUS,Mauritius,3203,257,154,343,498,4455,
MEX,Mexico,11898868,335544,516647,33755,132974,12917788,
FSM,Federated States of Micronesia,28,dw,dw,39,119,189,
MDA,Moldova,4981,4741,389,322,163,10596,
MCO,Monaco,1119,62,dw,56,0,1274,
MNG,Mongolia,5806,3103,301,574,101,9885,
MAR,Morocco,19126,2227,782,1934,617,24686,Includes data for Western Sahara.
MOZ,Mozambique,788,149,23,329,54,1343,
NAM,Namibia,1088,135,52,377,64,1716,
NRU,Nauru,75,0,0,19,0,102,
NPL,Nepal,10038,5251,1603,747,898,18537,
NLD,Netherlands,717717,9759,18990,5072,12948,764486,Includes data for Aruba and the former Netherlands Antilles.
NZL,New Zealand,220843,3808,5918,2306,1119,233994,Includes data for New Zealand territories.
NIC,Nicaragua,45291,1031,905,814,4884,52925,
NER,Niger,824,187,50,171,14,1246,
NGA,Nigeria,82558,7180,3401,3057,1206,97402,
NOR,Norway,232626,7947,6748,2805,1195,251321,
OMN,Oman,1830,683,106,624,0,3257,
PAK,Pakistan,46785,6490,5635,2903,1378,63191,
PLW,Palau,54,0,3,149,104,310,
PAN,Panama,114004,3304,1793,1494,3519,124114,
PNG,Papua New Guinea,745,57,11,190,88,1091,
PRY,Paraguay,14500,977,540,774,710,17501,
PER,Peru,189668,8316,7228,4300,14240,223752,
PHL,Philippines,215987,5362,20181,4825,79861,326216,
POL,Poland,129101,7979,5311,2301,8261,152953,
PRT,Portugal,137515,3740,3552,1345,2813,148965,
QAT,Qatar,4748,1930,23,822,69,7592,
ROU,Romania,51833,6111,3748,1248,6462,69402,
RUS,Russia,172977,32773,9412,6031,8532,229725,
RWA,Rwanda,1625,752,55,535,165,3132,
KNA,Saint Kitts and Nevis,12250,609,109,251,231,13450,
LCA,Saint Lucia,18042,716,124,374,844,20100,
VCT,Saint Vincent and the Grenadines,11205,232,106,203,2525,14271,
WSM,Samoa,2098,22,35,102,168,2425,
SMR,San Marino,762,9,dw,18,0,797,
STP,Sao Tome and Principe,20,5,dw,35,0,64,
SAU,Saudi Arabia,42535,41646,1378,5998,379,91936,
SEN,Senegal,7523,780,333,1242,127,10005,
SRB,Serbia,886,94,85,10,76,1151,"Government datasets track Serbian and Montenegrin citizenship under the former State Union of Serbia and Montenegro, despite dissolution in 2006. To show this discrepancy, the data displayed individually for both Serbia and Montenegro is the combined Serbia and Montenegro data."
MNE,Montenegro,886,94,85,10,76,1151,"Government datasets track Serbian and Montenegrin citizenship under the former State Union of Serbia and Montenegro, despite dissolution in 2006. To show this discrepancy, the data displayed individually for both Serbia and Montenegro is the combined Serbia and Montenegro data."
SYC,Seychelles,213,5,3,87,32,340,
SLE,Sierra Leone,2234,129,54,317,166,2900,
SGP,Singapore,107323,8903,5102,4416,357,126101,
SVK,Slovakia,33839,3687,1332,604,314,39776,
SVN,Slovenia,21822,643,511,404,159,23539,
SLB,Solomon Islands,134,16,dw,97,103,378,
SOM,Somalia,91,28,12,21,127,279,
ZAF,South Africa,91342,5017,8035,2118,4661,111173,
ESP,Spain,767540,22885,24388,6827,1569,823209,
LKA,Sri Lanka,12364,2652,1549,884,983,18432,
SDN,Sudan,2015,214,42,504,65,2840,
SUR,Suriname,7509,167,91,393,375,8535,
SWZ,Swaziland,377,102,25,154,20,678,
SWE,Sweden,395511,11952,12795,4602,1394,426254,
CHE,Switzerland,356830,9013,8762,2828,543,377976,
SYR,Syria,7413,799,268,151,273,8904,
TWN,Taiwan,257445,45117,22148,86,2510,327306,
TJK,Tajikistan,659,1056,61,250,11,2037,
TZA,Tanzania,4671,1092,341,1027,146,7277,
THA,Thailand,65145,21130,2799,2281,4331,95686,
TGO,Togo,1218,188,65,287,42,1800,
TON,Tonga,1962,80,66,183,82,2373,
TTO,Trinidad and Tobago,153530,4365,3913,1314,3304,166426,
TUN,Tunisia,5577,828,432,649,227,7713,
TUR,Turkey,99937,31799,9313,4178,2870,148097,
TKM,Turkmenistan,428,415,57,165,0,1077,
TUV,Tuvalu,41,dw,dw,38,107,193,
UGA,Uganda,5138,924,550,1030,131,7773,
UKR,Ukraine,44226,13141,2976,1257,9802,71402,
ARE,United Arab Emirates,10763,4528,63,1394,141,16889,
GBR,United Kingdom,4324378,45060,129042,21024,19929,4539433,"Includes data for British Overseas Territories, the Channel Islands, and the Isle of Man."
URY,Uruguay,42978,1130,1373,2000,1535,49016,
UZB,Uzbekistan,5296,927,253,469,178,7123,
VUT,Vanuatu,72,9,dw,40,25,150,
VEN,Venezuela,481517,14141,23294,1966,6989,527907,
VNM,Vietnam,35708,13991,1487,1813,1304,54303,
YEM,Yemen,1277,448,29,366,103,2223,
ZMB,Zambia,2552,479,160,580,76,3847,
ZWE,Zimbabwe,5011,944,520,616,292,7383,
