ISO,countryName,temporaryVisitor,studentExchange,temporaryWorker,diplomatRep,otherNI,total,countryNote
MNE,Montenegro,31904,7725,2018,996,3998,46641,"Government datasets track Serbian and Montenegrin citizenship under the former State Union of Serbia and Montenegro, despite dissolution in 2006. To show this discrepancy, the data displayed individually for both Serbia and Montenegro is the combined Serbia and Montenegro data."
SYC,Seychelles,353,31,3,115,26,528,
SLE,Sierra Leone,2535,186,33,425,91,3270,
SGP,Singapore,134128,11064,7658,5739,1318,159907,
SVK,Slovakia,50901,4691,2030,676,258,58556,
SVN,Slovenia,25796,944,972,443,185,28340,
SLB,Solomon Islands,351,18,3,115,17,504,
SOM,Somalia,239,64,3,67,57,430,
ZAF,South Africa,125922,5791,11886,2582,4553,150734,
SSD,South Sudan,210,91,dw,158,18,486,
ESP,Spain,1012133,38249,50749,9066,3364,1113561,
LKA,Sri Lanka,22626,3057,1383,814,1459,29339,
SDN,Sudan,5200,524,59,488,58,6329,
SUR,Suriname,12515,192,63,240,244,13254,
SWZ,Swaziland,782,197,45,191,31,1246,
SWE,Sweden,583486,13994,18891,4869,1200,622440,
CHE,Switzerland,452889,10346,11083,3277,1008,478603,
SYR,Syria,11920,908,192,135,320,13475,
TWN,Taiwan,449483,44307,18356,46,2802,514994,
TJK,Tajikistan,1456,467,41,301,15,2280,
TZA,Tanzania,6442,1084,271,642,195,8634,
THA,Thailand,92440,20846,2829,2657,3453,122225,
TLS,East Timor,37,38,dw,156,8,244,
TGO,Togo,2230,237,42,417,102,3028,
TON,Tonga,4091,82,61,198,45,4477,
TTO,Trinidad and Tobago,188058,3255,3263,1166,2010,197752,
TUN,Tunisia,11352,1787,383,1105,442,15069,
TUR,Turkey,194091,30755,9326,4950,3297,242419,
TKM,Turkmenistan,964,416,43,158,11,1592,
TUV,Tuvalu,69,4,0,95,34,202,
UGA,Uganda,7910,1050,677,1651,191,11479,
UKR,Ukraine,93514,9966,7204,1513,14951,127148,
ARE,United Arab Emirates,31582,6817,164,2459,48,41070,
GBR,United Kingdom,4930593,57454,168495,37816,22334,5216692,"Includes data for British Overseas Territories, the Channel Islands, and the Isle of Man."
URY,Uruguay,82101,1332,1599,1792,546,87370,
UZB,Uzbekistan,10105,1355,283,545,122,12410,
VUT,Vanuatu,130,16,17,80,20,263,
VEN,Venezuela,595429,21025,23169,1918,2594,644135,
VNM,Vietnam,90727,22258,2321,1594,3049,119949,
YEM,Yemen,3893,1327,55,264,89,5628,
ZMB,Zambia,3747,511,dw,877,151,5418,
ZWE,Zimbabwe,7442,1406,641,674,680,10843,
