ISO,countryName,temporaryVisitor,studentExchange,temporaryWorker,diplomatRep,otherNI,total,countryNote
AFG,Afghanistan,2707,686,35,722,324,4474,
ALB,Albania,10144,1205,554,583,322,12808,
DZA,Algeria,12231,845,382,761,146,14365,
AND,Andorra,1439,83,77,38,0,1642,
AGO,Angola,7363,1704,429,624,118,10238,
ATG,Antigua and Barbuda,16524,371,120,293,197,17505,
ARG,Argentina,943224,10665,23287,5871,3101,986148,
ARM,Armenia,8819,546,450,602,237,10654,
AUS,Australia,1423898,17887,74160,11198,2844,1529987,Includes data for Australian external territories.
AUT,Austria,222735,6245,8355,2034,807,240176,
AZE,Azerbaijan,6430,1120,298,614,73,8535,
BHS,Bahamas,263900,7301,807,1501,2269,275778,
BHR,Bahrain,8002,1139,109,325,19,9594,
BGD,Bangladesh,33053,6190,1530,2114,756,43643,
BRB,Barbados,65965,779,566,758,395,68463,
BLR,Belarus,17920,1475,1282,322,587,21586,
BEL,Belgium,297019,6068,12356,3434,645,319522,
BLZ,Belize,28665,659,458,746,940,31468,
BEN,Benin,2355,400,75,510,45,3385,
BTN,Bhutan,530,233,dw,250,27,1058,
BOL,Bolivia,69074,2614,1191,1252,540,74671,
BIH,Bosnia and Herzegovina,7748,961,255,484,862,10310,
BWA,Botswana,2068,366,127,289,43,2893,
BRA,Brazil,1866261,53749,50962,8789,8387,1988148,
BRN,Brunei,1189,147,20,311,0,1675,
BGR,Bulgaria,30483,7002,2698,1049,3583,44815,
BFA,Burkina Faso,5752,829,121,630,91,7423,
MMR,Burma,6356,1622,135,352,980,9445,
BDI,Burundi,1137,166,26,326,16,1671,
CPV,Cape Verde,5032,111,48,155,238,5584,
KHM,Cambodia,3881,698,101,529,453,5662,
CMR,Cameroon,11492,1259,389,1404,314,14858,
CAN,Canada,11366670,231582,1140594,16407,250819,13006072,
CAF,Central African Republic,175,32,12,121,11,351,
TCD,Chad,663,100,dw,355,7,1130,
CHL,Chile,377292,9569,9445,4136,2701,403143,
CHN,China,2587968,560061,87288,8990,20055,3264362,Includes data for Hong Kong and Macau.
COL,Colombia,885763,27527,20983,9889,7682,951844,
COM,Comoros,101,10,dw,72,0,187,
COD,Congo (Kinshasa),6515,820,99,803,66,8303,
COG,Congo (Brazzaville),1247,203,26,322,9,1807,
CRI,Costa Rica,295201,3601,4194,1686,1480,306162,
CIV,Cote d'Ivoire,6859,1202,192,887,143,9283,
HRV,Croatia,24886,2113,1558,642,4765,33964,
CUB,Cuba,48978,172,873,736,1976,52735,
CYP,Cyprus,9823,914,458,199,71,11465,
CZE,Czechia,110442,5986,4346,1343,358,122475,
DNK,Denmark,341921,7016,11563,4293,809,365602,Includes data for the Faroe Islands and Greenland.
DJI,Djibouti,643,30,dw,187,6,870,
DMA,Dominica,4830,242,61,108,298,5539,
DOM,Dominican Republic,376820,7211,7626,1831,5441,398929,
ECU,Ecuador,416736,8654,2971,1856,2202,432419,
EGY,Egypt,93133,8219,4053,4240,880,110525,
SLV,El Salvador,203962,2896,2422,1970,3141,214391,
GNQ,Equatorial Guinea,970,367,11,239,0,1597,
ERI,Eritrea,3226,204,11,80,83,3604,
EST,Estonia,24782,955,666,682,223,27308,
ETH,Ethiopia,19487,1883,570,1137,616,23693,
FJI,Fiji,11412,141,73,487,891,13004,
FIN,Finland,164482,3871,7421,2510,429,178713,
FRA,France,1897398,50439,99201,14483,5647,2067168,Includes data for Overseas France.
GAB,Gabon,2082,470,21,492,14,3079,
GMB,Gambia,1684,130,26,309,45,2194,
GEO,Georgia,7902,1282,394,928,624,11130,
DEU,Germany,2190832,55556,91510,20400,8107,2366405,
GHA,Ghana,23359,2701,946,1437,375,28818,
GRC,Greece,82044,6086,4354,1539,2746,96769,
GRD,Grenada,11167,288,160,364,805,12784,
GTM,Guatemala,274388,3421,7501,2223,1859,289392,
GIN,Guinea,3085,180,81,353,72,3771,
GNB,Guinea-Bissau,151,11,0,86,0,251,
GUY,Guyana,68825,404,127,574,1519,71449,
HTI,Haiti,154677,1293,883,1027,3596,161476,
VAT,Vatican City,16,dw,dw,109,0,128,
HND,Honduras,204652,4271,3339,1363,6077,219702,
HUN,Hungary,89134,4430,4298,1187,795,99844,
ISL,Iceland,57340,1423,1183,372,591,60909,
IND,India,1206225,181721,524414,8426,46395,1967181,
IDN,Indonesia,91241,13356,2211,4135,22940,133883,
IRN,Iran,22624,7492,465,383,517,31481,
IRQ,Iraq,18582,1272,118,744,253,20969,
IRL,Ireland,502382,13953,24010,1982,1071,543398,
ISR,Israel,421261,13289,21106,7990,1216,464862,
ITA,Italy,1262691,28908,49904,9794,6307,1357604,
JAM,Jamaica,311460,11812,18138,1302,8705,351417,
JPN,Japan,3717029,64947,182062,15390,6357,3985785,
JOR,Jordan,42322,4847,930,5501,591,54191,
KAZ,Kazakhstan,18966,6132,707,1008,116,26929,
KEN,Kenya,22776,3112,1165,3337,836,31226,
KIR,Kiribati,268,41,19,150,463,941,
PRK,North Korea,52,16,3,37,13,121,
KOR,South Korea,2001417,128687,49073,7353,4955,2191485,
KOS,Kosovo,4548,875,85,420,130,6058,
KWT,Kuwait,53390,21861,134,1342,94,76821,
KGZ,Kyrgyzstan,2936,629,78,363,107,4113,
LAO,Laos,1323,204,42,293,244,2106,
LVA,Latvia,21286,902,800,597,1157,24742,
LBN,Lebanon,44381,3585,1885,1389,355,51595,
LSO,Lesotho,361,90,13,211,40,715,
LBR,Liberia,3713,257,30,406,132,4538,
LBY,Libya,1224,583,96,176,27,2106,
LIE,Liechtenstein,2087,47,50,65,0,2252,
LTU,Lithuania,33331,2441,1087,631,553,38043,
LUX,Luxembourg,14490,341,319,328,0,15508,
MKD,Macedonia,7160,1891,280,459,1000,10790,
MDG,Madagascar,1231,186,28,428,101,1974,
MWI,Malawi,2132,355,dw,550,75,3178,
MYS,Malaysia,84434,9916,5171,1627,1121,102269,
MDV,Maldives,225,63,12,132,21,453,
MLI,Mali,3467,420,103,598,55,4643,
MLT,Malta,6500,78,173,146,0,6935,
MHL,Marshall Islands,57,7,0,82,34,180,
MRT,Mauritania,1364,150,24,352,19,1909,
MUS,Mauritius,4841,382,216,303,1203,6945,
MEX,Mexico,18420891,264446,843480,36032,80141,19644990,
FSM,Federated States of Micronesia,72,dw,0,76,24,175,
MDA,Moldova,9740,2120,408,381,220,12869,
MCO,Monaco,1152,60,56,99,0,1367,
MNG,Mongolia,11258,3057,339,554,80,15288,
MAR,Morocco,31561,3087,816,2057,616,38137,Includes data for Western Sahara.
MOZ,Mozambique,1890,254,62,463,0,2724,Includes data for Aruba and the former Netherlands Antilles.
NAM,Namibia,1781,166,59,463,57,2526,Includes data for New Zealand territories.
NRU,Nauru,85,3,dw,95,0,187,
NPL,Nepal,24172,8076,1604,971,849,35672,
NLD,Netherlands,766691,12363,27133,9874,4264,820325,Includes data for Aruba and the former Netherlands Antilles.
NZL,New Zealand,334531,5824,7660,3147,2583,353745,Includes data for New Zealand territories.
NIC,Nicaragua,71832,1130,1410,668,4569,79609,
NER,Niger,1076,227,31,567,34,1935,
NGA,Nigeria,195085,12593,3176,2758,1531,215143,
NOR,Norway,281929,8797,6900,5064,794,303484,
OMN,Oman,5007,5336,74,894,15,11326,
PAK,Pakistan,115108,11541,5598,3230,1182,136659,
PLW,Palau,34,4,4,78,15,135,
PAN,Panama,162155,5464,1613,1472,3065,173769,
PNG,Papua New Guinea,982,133,6,206,175,1502,
PRY,Paraguay,30478,1636,458,907,131,33610,
PER,Peru,314190,13145,5769,4457,6842,344403,
PHL,Philippines,322771,13187,17061,5445,91037,449501,
POL,Poland,198951,10298,9047,3049,9126,230471,
PRT,Portugal,178512,3984,6355,1616,2054,192521,
QAT,Qatar,14926,3603,35,1240,36,19840,
ROU,Romania,78024,8671,4668,1791,10144,103298,
RUS,Russia,271580,16419,14995,4570,9240,316804,
RWA,Rwanda,3601,1528,89,770,114,6102,
KNA,Saint Kitts and Nevis,12144,406,106,188,122,12966,
LCA,Saint Lucia,16858,324,97,374,1849,19502,
VCT,Saint Vincent and the Grenadines,10339,149,65,163,1873,12589,
WSM,Samoa,2150,63,33,126,182,2554,
SMR,San Marino,701,13,7,49,0,770,
STP,Sao Tome and Principe,40,dw,0,40,0,89,
SAU,Saudi Arabia,146550,103505,1739,8289,179,260262,
SEN,Senegal,8697,854,270,1365,97,11283,
SRB,Serbia,31904,7725,2018,996,3998,46641,"Government datasets track Serbian and Montenegrin citizenship under the former State Union of Serbia and Montenegro, despite dissolution in 2006. To show this discrepancy, the data displayed individually for both Serbia and Montenegro is the combined Serbia and Montenegro data."
