ISO,countryName,temporaryVisitor,studentExchange,temporaryWorker,diplomatRep,otherNI,total,countryNote
IRN,Iran,8484,1351,402,359,585,11181,
IRQ,Iraq,1225,373,162,429,380,2569,
IRL,Ireland,553428,14407,15355,1843,882,585915,
ISR,Israel,327113,13020,25338,7264,2747,375482,
ITA,Italy,832861,18255,25995,7503,5752,890366,
JAM,Jamaica,245685,10193,27184,1569,8790,293421,
JPN,Japan,3846687,86258,167548,15108,6443,4122044,
JOR,Jordan,18637,3096,905,3689,748,27075,
KAZ,Kazakhstan,6159,6197,443,762,120,13681,
KEN,Kenya,14756,3410,1806,1542,329,21843,
KIR,Kiribati,137,12,13,40,535,737,
PRK,North Korea,30,6,0,dw,8,50,
KOR,South Korea,811251,155178,48739,7094,5991,1028253,
KWT,Kuwait,15710,3282,133,1024,127,20276,
KGZ,Kyrgyzstan,991,970,104,326,76,2467,
LAO,Laos,2193,77,69,119,530,2988,
LVA,Latvia,9916,692,435,583,2349,13975,
LBN,Lebanon,22690,2432,1810,888,412,28232,
LSO,Lesotho,196,44,15,147,27,429,
LBR,Liberia,1733,94,28,260,113,2228,
LBY,Libya,896,549,25,185,25,1680,
LIE,Liechtenstein,1340,57,34,41,6,1478,
LTU,Lithuania,10158,2232,738,576,865,14569,
LUX,Luxembourg,9240,193,266,216,24,9939,
MKD,Macedonia,4312,1627,322,383,864,7508,
MDG,Madagascar,542,95,17,287,74,1015,
MWI,Malawi,975,271,70,331,26,1673,
MYS,Malaysia,67681,5787,6148,1656,1185,82457,
MDV,Maldives,147,113,5,52,64,381,
MLI,Mali,3083,444,132,354,42,4055,
MLT,Malta,5614,55,182,115,89,6055,
MHL,Marshall Islands,70,dw,dw,14,148,244,
MRT,Mauritania,625,114,41,262,81,1123,
MUS,Mauritius,1985,164,141,311,361,2962,
MEX,Mexico,6970720,70162,300346,8104,55859,7405191,
FSM,Federated States of Micronesia,33,dw,dw,33,200,275,
MDA,Moldova,3241,6144,578,268,151,10382,
MCO,Monaco,813,38,11,34,2,898,
MNG,Mongolia,4188,1955,313,309,67,6832,
MAR,Morocco,14028,1628,861,1689,650,18856,Includes data for Western Sahara.
MOZ,Mozambique,486,86,23,357,59,1011,
NAM,Namibia,932,201,76,206,40,1455,
NRU,Nauru,22,dw,dw,25,7,57,
NPL,Nepal,7512,5293,1751,610,820,15986,
NLD,Netherlands,655939,8792,21669,4729,18228,709357,Includes data for Aruba and the former Netherlands Antilles.
NZL,New Zealand,220815,3569,6952,2222,1374,234932,Includes data for New Zealand territories.
NIC,Nicaragua,45984,932,1151,655,4919,53641,
NER,Niger,967,149,29,252,29,1426,
NGA,Nigeria,58476,4770,3475,1829,1435,69985,
NOR,Norway,181788,5446,7528,2789,1745,199296,
OMN,Oman,1377,508,dw,467,17,2495,
PAK,Pakistan,39948,5640,6139,2587,1425,55739,
PLW,Palau,24,dw,dw,48,158,234,
PAN,Panama,95080,3077,2142,1278,3064,104641,
PNG,Papua New Guinea,334,51,15,126,73,599,
PRY,Paraguay,11144,905,562,777,1180,14568,
PER,Peru,166974,11974,9911,3855,18626,211340,
PHL,Philippines,197994,5907,22539,4357,85444,316241,
POL,Poland,147831,17658,6051,2047,9904,183491,
PRT,Portugal,115153,3113,2713,1384,2211,124574,
QAT,Qatar,2136,646,17,455,18,3272,
ROU,Romania,47667,9946,6788,1555,8257,74213,
RUS,Russia,114033,34750,11989,5159,11052,176983,
RWA,Rwanda,1416,371,71,435,98,2391,
KNA,Saint Kitts and Nevis,14624,524,136,261,175,15720,
LCA,Saint Lucia,18036,733,198,301,623,19891,
VCT,Saint Vincent and the Grenadines,11298,274,82,194,2792,14640,
WSM,Samoa,2009,59,64,88,198,2418,
SMR,San Marino,521,dw,dw,27,0,557,
STP,Sao Tome and Principe,18,4,0,41,0,63,
SAU,Saudi Arabia,16568,17042,737,3564,176,38087,
SEN,Senegal,5669,560,303,1016,148,7696,
SRB,Serbia,3914,306,234,41,290,4785,"Government datasets track Serbian and Montenegrin citizenship under the former State Union of Serbia and Montenegro, despite dissolution in 2006. To show this discrepancy, the data displayed individually for both Serbia and Montenegro is the combined Serbia and Montenegro data."
MNE,Montenegro,3914,306,234,41,290,4785,"Government datasets track Serbian and Montenegrin citizenship under the former State Union of Serbia and Montenegro, despite dissolution in 2006. To show this discrepancy, the data displayed individually for both Serbia and Montenegro is the combined Serbia and Montenegro data."
SYC,Seychelles,226,7,7,33,17,290,
SLE,Sierra Leone,1975,130,120,296,109,2630,
SGP,Singapore,104624,7097,6412,2251,546,120930,
SVK,Slovakia,18288,6534,1774,612,841,28049,
SVN,Slovenia,17267,588,473,404,190,18922,
SLB,Solomon Islands,155,18,35,42,54,304,
SOM,Somalia,129,dw,dw,28,105,271,
ZAF,South Africa,101495,5173,10791,2099,5006,124564,
ESP,Spain,608010,19300,21355,5369,1754,655788,
LKA,Sri Lanka,13306,2267,1684,842,747,18846,
SDN,Sudan,1559,170,57,369,95,2250,
SUR,Suriname,5175,159,122,261,449,6166,
SWZ,Swaziland,214,64,dw,81,10,406,
SWE,Sweden,361101,10913,14301,4451,1527,392293,
CHE,Switzerland,281647,8049,10440,2572,700,303408,
SYR,Syria,5822,583,310,141,260,7116,
TWN,Taiwan,276514,48211,15227,108,2911,342971,
TJK,Tajikistan,467,775,22,165,13,1442,
TZA,Tanzania,3862,1092,305,917,71,6247,
THA,Thailand,65388,24731,3221,1941,4824,100105,
TGO,Togo,1224,176,48,196,45,1689,
TON,Tonga,3198,87,141,153,104,3683,
TTO,Trinidad and Tobago,155291,5315,4332,1416,4826,171180,
TUN,Tunisia,4016,560,293,673,183,5725,
TUR,Turkey,88720,28864,9822,3135,2401,132942,
TKM,Turkmenistan,292,299,30,114,15,750,
TUV,Tuvalu,53,4,0,37,189,283,
UGA,Uganda,4834,775,458,707,202,6976,
UKR,Ukraine,37239,11160,3045,1155,10732,63331,
ARE,United Arab Emirates,6227,1633,33,764,92,8749,
GBR,United Kingdom,4875720,46149,157144,22958,30818,5132789,"Includes data for British Overseas Territories, the Channel Islands, and the Isle of Man."
URY,Uruguay,36457,947,2202,1761,2056,43423,
UZB,Uzbekistan,3728,1026,264,231,112,5361,
VUT,Vanuatu,90,6,6,53,24,179,
VEN,Venezuela,421768,9814,30120,2272,6564,470538,
VNM,Vietnam,27510,9296,1258,1263,2842,42169,
YEM,Yemen,912,315,43,338,220,1828,
ZMB,Zambia,2351,532,138,528,100,3649,
ZWE,Zimbabwe,5508,1030,677,442,174,7831,
