ISO,countryName,temporaryVisitor,studentExchange,temporaryWorker,diplomatRep,otherNI,total,countryNote
AFG,Afghanistan,978,437,16,916,192,2539,
ALB,Albania,6116,854,333,481,118,7902,
DZA,Algeria,3834,279,253,626,159,5151,
AND,Andorra,781,33,37,53,8,912,
AGO,Angola,4183,732,524,567,229,6235,
ATG,Antigua and Barbuda,21841,446,197,363,190,23037,
ARG,Argentina,287223,10483,27072,5957,6776,337511,
ARM,Armenia,3243,621,331,316,130,4641,
AUS,Australia,750683,11363,37710,10307,3495,813558,Includes data for Australian external territories.
AUT,Austria,155596,4475,6407,1750,629,168857,
AZE,Azerbaijan,2142,919,212,514,52,3839,
BHS,Bahamas,346326,8036,1043,1311,11971,368687,
BHR,Bahrain,3083,714,46,463,28,4334,
BGD,Bangladesh,8973,1846,1106,762,413,13100,
BRB,Barbados,58277,972,1082,929,847,62107,
BLR,Belarus,6616,2094,647,254,767,10378,
BEL,Belgium,231664,3789,8846,3157,651,248107,
BLZ,Belize,24257,784,508,525,1057,27131,
BEN,Benin,1489,373,73,322,69,2326,
BTN,Bhutan,214,120,59,103,18,514,
BOL,Bolivia,31216,1987,1805,1337,2861,39206,
BIH,Bosnia and Herzegovina,5643,764,313,279,413,7412,
BWA,Botswana,1438,280,93,382,35,2228,
BRA,Brazil,632024,37431,35008,8256,72039,784758,
BRN,Brunei,787,49,dw,126,3,998,
BGR,Bulgaria,19753,13540,4148,918,3846,42205,
BFA,Burkina Faso,1708,447,86,363,70,2674,
MMR,Burma,1315,397,177,141,331,2361,
BDI,Burundi,647,94,17,224,77,1059,
KHM,Cambodia,2220,332,105,206,988,3851,
CMR,Cameroon,6652,974,364,925,179,9094,
CAN,Canada,56106,39533,164836,5095,10829,276399,
CPV,Cape Verde,2497,58,33,129,154,2871,
CAF,Central African Republic,196,35,17,62,29,339,
TCD,Chad,349,122,28,142,11,652,
CHL,Chile,135610,7650,7249,3629,3835,157973,
CHN,China,529133,95698,35461,5725,19009,685026,Includes data for Hong Kong and Macau.
COL,Colombia,434713,16733,25889,6402,9220,492957,
COM,Comoros,15,4,3,35,6,63,
COG,Congo (Brazzaville),1907,206,81,449,121,2764,
COD,Congo (Kinshasa),717,89,35,125,30,996,
CRI,Costa Rica,164601,3059,4614,1223,3385,176882,
CIV,Cote d'Ivoire,2024,413,155,321,88,3001,
HRV,Croatia,16741,1741,1101,708,5144,25435,
CUB,Cuba,8822,28,104,448,1835,11237,
CYP,Cyprus,7436,1491,412,183,115,9637,
CZE,Czechia,42923,5222,2447,1137,682,52411,
DNK,Denmark,243323,4529,8987,2849,1504,261192,Includes data for the Faroe Islands and Greenland.
DJI,Djibouti,132,11,dw,55,1,204,
DMA,Dominica,4662,272,99,71,218,5322,
DOM,Dominican Republic,280728,5527,7975,2155,4921,301306,
TLS,East Timor,0,dw,0,dw,0,5,
ECU,Ecuador,162216,7068,4562,1608,3996,179450,
EGY,Egypt,32505,4010,2455,3526,643,43139,
SLV,El Salvador,170935,1887,2709,1600,2547,179678,
GNQ,Equatorial Guinea,147,34,dw,78,4,272,
ERI,Eritrea,808,73,9,44,75,1009,
EST,Estonia,10581,865,383,476,480,12785,
ETH,Ethiopia,8402,828,284,686,764,10964,
FJI,Fiji,7416,151,159,225,1804,9755,
FIN,Finland,106975,2739,6051,1610,454,117829,
FRA,France,1291674,36460,67647,11201,7645,1414627,Includes data for Overseas France.
GAB,Gabon,993,324,24,457,13,1811,
GMB,Gambia,1483,163,33,310,33,2022,
GEO,Georgia,2421,811,507,642,586,4967,
DEU,Germany,1682173,51450,86256,13980,5685,1839544,
GHA,Ghana,15861,2217,1212,1052,561,20903,
GRC,Greece,57640,4887,2810,2209,3502,71048,
GRD,Grenada,10222,397,235,176,483,11513,
GTM,Guatemala,198699,2878,7397,1264,2975,213213,
GIN,Guinea,3693,203,146,481,96,4619,
GNB,Guinea-Bissau,57,dw,0,dw,36,107,
GUY,Guyana,22695,388,475,545,1362,25465,
HTI,Haiti,94247,1237,1384,713,3695,101276,
VAT,Vatican City,26,4,3,73,7,113,
HND,Honduras,113967,2268,2744,1132,7634,127745,
HUN,Hungary,42411,3478,2625,999,1541,51054,
ISL,Iceland,49372,1496,968,355,128,52319,
IND,India,584127,88918,306400,7788,32533,1019766,
IDN,Indonesia,56243,8927,3720,2912,15103,86905,
