ISO,countryName,temporaryVisitor,studentExchange,temporaryWorker,diplomatRep,otherNI,total,countryNote
AFG,Afghanistan,2380,675,30,665,400,4150,
ALB,Albania,6839,972,306,465,164,8746,
DZA,Algeria,10762,551,283,725,144,12465,
AND,Andorra,1432,32,100,40,7,1611,
AGO,Angola,11042,2016,757,858,42,14715,
ATG,Antigua and Barbuda,13918,369,111,310,126,14834,
ARG,Argentina,730089,9343,20410,6056,2571,768469,
ARM,Armenia,6260,550,557,593,272,8232,
AUS,Australia,1389358,17065,59997,10477,3273,1480170,Includes data for Australian external territories.
AUT,Austria,231414,6086,7027,2098,497,247122,
AZE,Azerbaijan,5281,1000,367,645,54,7347,
BHS,Bahamas,229777,6848,695,1356,1775,240451,
BHR,Bahrain,7259,1151,64,360,15,8849,
BGD,Bangladesh,34342,5421,1476,1728,593,43560,
BRB,Barbados,58803,659,476,716,398,61052,
BLR,Belarus,13328,878,1072,272,616,16166,
BEL,Belgium,313880,5515,10980,3404,500,334279,
BLZ,Belize,24108,588,260,592,1029,26577,
BEN,Benin,2269,355,48,569,25,3266,
BTN,Bhutan,581,197,22,215,0,1034,
BOL,Bolivia,49867,2225,1160,1258,590,55100,
BIH,Bosnia and Herzegovina,6966,942,266,416,790,9380,
BWA,Botswana,1883,306,66,308,60,2623,
BRA,Brazil,2275588,60046,36658,9454,8499,2390245,
BRN,Brunei,1410,133,dw,491,48,2106,
BGR,Bulgaria,27899,8183,2394,1075,3508,43059,
BFA,Burkina Faso,3672,791,115,587,0,5267,
MMR,Burma,4013,1310,147,417,667,6554,
BDI,Burundi,927,267,58,451,0,1732,
KHM,Cambodia,3395,638,82,335,302,4752,
CMR,Cameroon,8668,1036,443,1361,165,11673,
CAN,Canada,11289743,259568,1030104,16690,658867,13254972,The number of I-94 nonimmigrant admissions in 2014 greatly exceeds totals reported in previous years due to a more complete count of Canadian air and sea admissions.
CPV,Cabo Verde,4115,118,15,145,151,4544,
CAF,Central African Republic,202,31,10,106,25,374,
TCD,Chad,717,84,23,358,8,1190,
CHL,Chile,254699,9383,7356,3752,4564,279754,
CHN,China,2001302,460476,63636,7927,22555,2555896,Includes data for Hong Kong and Macau.
COL,Colombia,924916,24292,18301,10459,7105,985073,
COM,Comoros,123,14,dw,105,0,247,
COG,Republic of the Congo,1449,299,94,465,17,2324,
COD,Democratic Republic of the Congo,5152,756,76,929,60,6973,
CRI,Costa Rica,219600,3173,3337,1462,1424,228996,
CIV,Cote d'Ivoire,5558,1063,151,857,113,7742,
HRV,Croatia,21376,1884,1297,576,4675,29808,
CUB,Cuba,41998,123,447,535,634,43737,
CYP,Cyprus,9030,919,358,213,0,10582,
CZE,Czechia,104811,5598,3101,1195,375,115080,
DNK,Denmark,329352,7559,10225,4072,702,351910,Includes data for the Faroe Islands and Greenland.
DJI,Djibouti,393,16,dw,190,5,608,
DMA,Dominica,6180,261,93,178,348,7060,
DOM,Dominican Republic,285299,5626,7354,1758,4646,304683,
TLS,Timor-Leste,31,47,dw,143,0,226,
ECU,Ecuador,322274,7969,3042,2127,2082,337494,
EGY,Egypt,84499,7035,3569,3993,620,99716,
SLV,El Salvador,129651,2513,2175,1594,2396,138329,
GNQ,Equatorial Guinea,1225,378,dw,406,0,2057,
ERI,Eritrea,2269,167,13,57,77,2583,
EST,Estonia,21976,1110,762,687,0,24733,
ETH,Ethiopia,14783,1390,537,1096,470,18276,
FJI,Fiji,13138,130,112,368,1229,14977,
FIN,Finland,161305,3740,5893,2207,220,173365,
FRA,France,1966335,47839,83125,12934,5117,2115350,Includes data for Overseas France.
GAB,Gabon,1953,441,41,526,0,2971,
GMB,Gambia,1979,187,31,452,46,2695,
GEO,Georgia,6060,1291,274,925,552,9102,
DEU,Germany,2283086,56428,83032,19152,6893,2448591,
GHA,Ghana,23850,2768,931,1398,513,29460,
GRC,Greece,75619,5781,3935,1455,2635,89425,
GRD,Grenada,9487,265,126,276,718,10872,
GTM,Guatemala,238794,3448,6827,1767,1750,252586,
GIN,Guinea,2636,133,120,296,65,3250,
GNB,Guinea-Bissau,134,14,dw,110,21,285,
GUY,Guyana,40601,357,116,540,1935,43549,
HTI,Haiti,119293,1281,773,995,2499,124841,
VAT,Vatican City,26,0,0,107,0,136,
HND,Honduras,162316,3813,3969,1095,5443,176636,
HUN,Hungary,80789,4355,3831,1048,1079,91102,
ISL,Iceland,53357,1220,1059,354,0,56250,
IND,India,1111738,136078,426015,8070,38828,1720729,
IDN,Indonesia,92795,12332,2461,3978,21447,133013,
IRN,Iran,24416,7443,479,340,625,33303,
IRQ,Iraq,20281,2559,94,804,120,23858,
IRL,Ireland,475529,17903,22077,1883,890,518282,
ISR,Israel,360684,12150,19179,7140,1016,400169,
ITA,Italy,1282485,26707,42589,8972,5819,1366572,
JAM,Jamaica,231558,8386,14770,1316,9710,265740,
JPN,Japan,3933941,67292,177893,15614,4412,4199152,
JOR,Jordan,33528,4885,839,5088,546,44886,
KAZ,Kazakhstan,17809,6463,786,868,140,26066,
KEN,Kenya,19415,2796,1321,3388,505,27425,
KIR,Kiribati,200,29,dw,156,361,760,
PRK,North Korea,29,7,dw,28,15,84,
KOR,South Korea,1576328,142015,51354,6961,4004,1780662,
KOS,Kosovo,3872,775,dw,377,111,5204,
KWT,Kuwait,45112,18394,112,1098,38,64754,
KGZ,Kyrgyzstan,2735,858,135,343,57,4128,
LAO,Laos,1575,142,37,264,560,2578,
LVA,Latvia,20302,849,770,565,1385,23871,
LBN,Lebanon,43597,3319,2080,1314,322,50632,
LSO,Lesotho,314,89,29,195,0,639,
LBR,Liberia,4147,257,dw,530,184,5152,
LBY,Libya,1608,2007,74,417,0,4120,
LIE,Liechtenstein,2190,69,dw,48,0,2330,
LTU,Lithuania,27744,1936,818,653,461,31612,
LUX,Luxembourg,15279,337,203,415,26,16260,
MKD,Macedonia,6215,1883,331,417,1009,9855,
MDG,Madagascar,1057,145,84,358,55,1699,
MWI,Malawi,1639,306,52,501,49,2547,
MYS,Malaysia,91444,9267,5419,1816,980,108926,
MDV,Maldives,237,161,7,105,49,559,
MLI,Mali,3281,444,142,428,36,4331,
MLT,Malta,6357,69,175,126,0,6751,
MHL,Marshall Islands,78,8,0,125,50,261,
MRT,Mauritania,1281,180,65,419,0,1953,
MUS,Mauritius,5381,370,184,295,865,7095,
MEX,Mexico,18889281,256082,701077,34338,122158,20002936,
FSM,Federated States of Micronesia,48,dw,dw,74,4,130,
MDA,Moldova,9065,2901,457,359,157,12939,
MCO,Monaco,1078,46,dw,62,0,1210,
MNG,Mongolia,10347,2717,232,621,96,14013,
MAR,Morocco,28180,2926,767,2592,445,34910,Includes data for Western Sahara.
MOZ,Mozambique,1816,169,dw,532,111,2729,
NAM,Namibia,1738,145,59,445,60,2447,
NRU,Nauru,18,3,0,73,0,110,
NPL,Nepal,15617,4362,1744,822,842,23387,
NLD,Netherlands,766936,10872,24545,8811,3396,814560,Includes data for Aruba and the former Netherlands Antilles.
NZL,New Zealand,301665,5122,7044,2998,1863,318692,Includes data for New Zealand territories.
NIC,Nicaragua,58663,912,1217,664,4410,65866,
NER,Niger,901,184,24,441,16,1566,
NGA,Nigeria,179292,10283,3904,3159,1112,197750,
NOR,Norway,320737,10761,7879,4917,860,345154,
OMN,Oman,4999,4315,183,1216,0,10717,
PAK,Pakistan,85853,8532,5059,2572,937,102953,
PLW,Palau,33,dw,dw,43,0,90,
PAN,Panama,142981,4412,1392,1374,2956,153115,
PNG,Papua New Guinea,964,181,dw,197,85,1438,
PRY,Paraguay,28380,1414,311,1029,276,31410,
PER,Peru,265194,9423,5610,3925,8600,292752,
PHL,Philippines,292865,8011,15782,4842,83066,404566,
POL,Poland,180635,9097,7495,2595,7357,207179,
PRT,Portugal,181824,3635,5509,1248,1838,194054,
QAT,Qatar,13753,3623,49,1302,13,18740,
ROU,Romania,71923,7443,4240,1528,8907,94041,
RUS,Russia,356492,23565,15664,5611,11679,413011,
RWA,Rwanda,2808,1160,100,864,107,5039,
KNA,Saint Kitts and Nevis,11487,416,95,350,101,12449,
LCA,Saint Lucia,14543,359,107,395,1518,16922,
VCT,Saint Vincent and the Grenadines,10162,163,dw,183,1776,12371,
WSM,Samoa,1747,47,45,129,169,2137,
SMR,San Marino,723,13,dw,47,0,787,
STP,Sao Tome and Principe,44,6,0,70,0,120,
SAU,Saudi Arabia,146433,132781,1501,10916,84,291715,
SEN,Senegal,8891,811,297,1284,107,11390,
SRB,Serbia,4787,1055,296,311,887,7336,"Government datasets track Serbian and Montenegrin citizenship under the former State Union of Serbia and Montenegro, despite dissolution in 2006. To show this discrepancy, the data displayed individually for both Serbia and Montenegro is the combined Serbia and Montenegro data."
MNE,Montenegro,4787,1055,296,311,887,7336,"Government datasets track Serbian and Montenegrin citizenship under the former State Union of Serbia and Montenegro, despite dissolution in 2006. To show this discrepancy, the data displayed individually for both Serbia and Montenegro is the combined Serbia and Montenegro data."
