ISO,countryName,temporaryVisitor,studentExchange,temporaryWorker,diplomatRep,otherNI,total,countryNote
SYC,Seychelles,281,28,dw,151,17,480,
SLE,Sierra Leone,2759,194,75,403,116,3547,
SGP,Singapore,146027,10977,6290,4318,1074,168686,
SVK,Slovakia,47058,4687,1662,612,284,54303,
SVN,Slovenia,23933,886,824,379,130,26152,
SLB,Solomon Islands,190,21,0,70,61,342,
SOM,Somalia,222,41,dw,36,36,343,
ZAF,South Africa,126935,4960,9831,2601,3916,148243,
SSD,South Sudan,220,77,dw,179,42,528,
ESP,Spain,955737,32730,45580,7975,2408,1044430,
LKA,Sri Lanka,20246,2956,1476,776,1362,26816,
SDN,Sudan,3525,377,32,483,57,4474,
SUR,Suriname,12327,191,71,457,270,13316,
SWZ,Swaziland,635,197,47,190,60,1129,
SWE,Sweden,576033,15031,17559,4895,1074,614592,
CHE,Switzerland,470615,10466,9786,3144,881,494892,
SYR,Syria,15323,1271,235,89,269,17187,
TWN,Taiwan,424124,42191,16957,47,1530,484849,
TJK,Tajikistan,941,462,39,364,0,1836,
TZA,Tanzania,5843,1016,300,1338,168,8665,
THA,Thailand,88255,23567,2743,2317,3658,120540,
TGO,Togo,1916,182,60,346,0,2560,
TON,Tonga,2069,82,128,218,0,2561,
TTO,Trinidad and Tobago,164658,3165,3336,1351,1996,174506,
TUN,Tunisia,10250,1536,361,976,344,13467,
TUR,Turkey,168066,30469,8565,5197,2661,214958,
TKM,Turkmenistan,1072,482,46,158,19,1777,
TUV,Tuvalu,39,6,3,76,58,182,
UGA,Uganda,6888,889,762,1613,156,10308,
UKR,Ukraine,74974,8040,4650,1044,12169,100877,
ARE,United Arab Emirates,29630,6600,108,2167,37,38542,
GBR,United Kingdom,4549934,52827,159122,34364,17827,4814074,"Includes data for British Overseas Territories, the Channel Islands, and the Isle of Man."
URY,Uruguay,75545,1188,1509,1945,479,80666,
UZB,Uzbekistan,7951,1129,275,467,178,10000,
VUT,Vanuatu,84,dw,17,73,19,208,
VEN,Venezuela,726963,21974,22565,1569,1711,774782,
VNM,Vietnam,68655,19775,1837,1464,2255,93986,
YEM,Yemen,3752,1566,27,491,60,5896,
ZMB,Zambia,3730,555,166,870,120,5441,
ZWE,Zimbabwe,7215,1232,551,611,439,10048,
